"label","department_name","region_name"
"ville du pont","doubs","bourgogne-franche-comté"
"villers grelot","doubs","bourgogne-franche-comté"
"villars les blamont","doubs","bourgogne-franche-comté"
"les villedieu","doubs","bourgogne-franche-comté"
"villers buzon","doubs","bourgogne-franche-comté"
"villers la combe","doubs","bourgogne-franche-comté"
"villers sous chalamont","doubs","bourgogne-franche-comté"
"voujeaucourt","doubs","bourgogne-franche-comté"
"bouconville vauclair","aisne","hauts-de-france"
"bouresches","aisne","hauts-de-france"
"brissy hamegicourt","aisne","hauts-de-france"
"brumetz","aisne","hauts-de-france"
"brunehamel","aisne","hauts-de-france"
"bucy le long","aisne","hauts-de-france"
"caillouel crepigny","aisne","hauts-de-france"
"camelin","aisne","hauts-de-france"
"cerny en laonnois","aisne","hauts-de-france"
"chambry","aisne","hauts-de-france"
"chaourse","aisne","hauts-de-france"
"charmes","aisne","hauts-de-france"
"chaudun","aisne","hauts-de-france"
"chauny","aisne","hauts-de-france"
"chezy en orxois","aisne","hauts-de-france"
"chivy les etouvelles","aisne","hauts-de-france"
"ciry salsogne","aisne","hauts-de-france"
"clastres","aisne","hauts-de-france"
"montchalons","aisne","hauts-de-france"
"monthenault","aisne","hauts-de-france"
"montigny l allier","aisne","hauts-de-france"
"montigny lengrain","aisne","hauts-de-france"
"mont notre dame","aisne","hauts-de-france"
"mont st jean","aisne","hauts-de-france"
"muret et crouttes","aisne","hauts-de-france"
"nesles la montagne","aisne","hauts-de-france"
"neufchatel sur aisne","aisne","hauts-de-france"
"le nouvion en thierache","aisne","hauts-de-france"
"ognes","aisne","hauts-de-france"
"orainville","aisne","hauts-de-france"
"osly courtil","aisne","hauts-de-france"
"pancy courtecon","aisne","hauts-de-france"
"papleux","aisne","hauts-de-france"
"parcy et tigny","aisne","hauts-de-france"
"parfondru","aisne","hauts-de-france"
"pargny la dhuys","aisne","hauts-de-france"
"pargny les bois","aisne","hauts-de-france"
"parpeville","aisne","hauts-de-france"
"viffort","aisne","hauts-de-france"
"villeneuve sur fere","aisne","hauts-de-france"
"villers st christophe","aisne","hauts-de-france"
"wimy","aisne","hauts-de-france"
"st firmin en valgodemard","hautes-alpes","provence-alpes-côte d'azur"
"bosmont sur serre","aisne","hauts-de-france"
"bouffignereux","aisne","hauts-de-france"
"bourguignon sous coucy","aisne","hauts-de-france"
"brancourt en laonnois","aisne","hauts-de-france"
"braye en laonnois","aisne","hauts-de-france"
"brenelle","aisne","hauts-de-france"
"brie","aisne","hauts-de-france"
"bruyeres et montberault","aisne","hauts-de-france"
"camelin","aisne","hauts-de-france"
"castres","aisne","hauts-de-france"
"chaillevois","aisne","hauts-de-france"
"albon d ardeche","ardèche","auvergne-rhône-alpes"
"chassemy","aisne","hauts-de-france"
"chateau thierry","aisne","hauts-de-france"
"annonay","ardèche","auvergne-rhône-alpes"
